"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Flag","Flag Description"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2000,2000,"ha",47205,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2001,2001,"ha",47450,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2002,2002,"ha",47735,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2003,2003,"ha",47950,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2004,2004,"ha",48480,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2005,2005,"ha",54506,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2006,2006,"ha",54800,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2007,2007,"ha",52000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2008,2008,"ha",54000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2009,2009,"ha",50000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2010,2010,"ha",52000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2011,2011,"ha",53000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2012,2012,"ha",55000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2013,2013,"ha",55000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2014,2014,"ha",53000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2015,2015,"ha",66591,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2016,2016,"ha",82542,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5312,"Area harvested",242,"Groundnuts, with shell",2017,2017,"ha",78426,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2000,2000,"hg/ha",7421,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2001,2001,"hg/ha",7427,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2002,2002,"hg/ha",7427,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2003,2003,"hg/ha",7426,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2004,2004,"hg/ha",7137,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2005,2005,"hg/ha",6981,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2006,2006,"hg/ha",7638,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2007,2007,"hg/ha",6154,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2008,2008,"hg/ha",6296,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2009,2009,"hg/ha",5200,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2010,2010,"hg/ha",5769,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2011,2011,"hg/ha",5849,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2012,2012,"hg/ha",6000,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2013,2013,"hg/ha",6000,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2014,2014,"hg/ha",11070,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2015,2015,"hg/ha",8782,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2016,2016,"hg/ha",7063,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",242,"Groundnuts, with shell",2017,2017,"hg/ha",7095,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2000,2000,"tonnes",35030,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2001,2001,"tonnes",35240,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2002,2002,"tonnes",35455,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2003,2003,"tonnes",35610,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2004,2004,"tonnes",34600,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2005,2005,"tonnes",38053,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2006,2006,"tonnes",41858,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2007,2007,"tonnes",32000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2008,2008,"tonnes",34000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2009,2009,"tonnes",26000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2010,2010,"tonnes",30000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2011,2011,"tonnes",31000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2012,2012,"tonnes",33000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2013,2013,"tonnes",33000,"*","Unofficial figure"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2014,2014,"tonnes",58670,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2015,2015,"tonnes",58483,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2016,2016,"tonnes",58302,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",242,"Groundnuts, with shell",2017,2017,"tonnes",55646,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2000,2000,"ha",192135,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2001,2001,"ha",193270,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2002,2002,"ha",194405,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2003,2003,"ha",195540,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2004,2004,"ha",196660,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2005,2005,"ha",252838,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2006,2006,"ha",255070,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2007,2007,"ha",257400,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2008,2008,"ha",259730,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2009,2009,"ha",262069,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2010,2010,"ha",264429,,"Official data"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2011,2011,"ha",277182,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2012,2012,"ha",269997,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2013,2013,"ha",229684,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2014,2014,"ha",218379,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2015,2015,"ha",194269,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2016,2016,"ha",184552,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5312,"Area harvested",56,"Maize",2017,2017,"ha",162176,"Im","FAO data based on imputation methodology"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2000,2000,"hg/ha",8838,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2001,2001,"hg/ha",9290,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2002,2002,"hg/ha",8845,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2003,2003,"hg/ha",16255,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2004,2004,"hg/ha",17779,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2005,2005,"hg/ha",15464,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2006,2006,"hg/ha",15891,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2007,2007,"hg/ha",16191,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2008,2008,"hg/ha",16569,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2009,2009,"hg/ha",16225,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2010,2010,"hg/ha",15577,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2011,2011,"hg/ha",15455,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2012,2012,"hg/ha",16591,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2013,2013,"hg/ha",16581,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2014,2014,"hg/ha",16768,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2015,2015,"hg/ha",16954,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2016,2016,"hg/ha",17141,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5419,"Yield",56,"Maize",2017,2017,"hg/ha",17327,"Fc","Calculated data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2000,2000,"tonnes",169800,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2001,2001,"tonnes",179550,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2002,2002,"tonnes",171950,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2003,2003,"tonnes",317860,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2004,2004,"tonnes",349646,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2005,2005,"tonnes",391000,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2006,2006,"tonnes",405344,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2007,2007,"tonnes",416767,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2008,2008,"tonnes",430334,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2009,2009,"tonnes",425204,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2010,2010,"tonnes",411914,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2011,2011,"tonnes",428390,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2012,2012,"tonnes",447948,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2013,2013,"tonnes",380848,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2014,2014,"tonnes",366172,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2015,2015,"tonnes",329367,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2016,2016,"tonnes",316331,,"Official data"
"QC","Crops",129,"Madagascar",5510,"Production",56,"Maize",2017,2017,"tonnes",281000,"*","Unofficial figure"
